,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
18,19,SUBASH SINGH,Independent,708,1,709,0.52,215
19,20,NOTA,None of the Above,1195,5,1200,0.87,215
0,1,Indu Devi Kashyap,Lok Jan Shakti Party,23828,348,24176,15.15,216
1,2,Kumar Krishna Mohan urf Suday Yadav,Rashtriya Janata Dal,73962,1068,75030,47.03,216
2,3,Krishannandan Prasad Verma,Janata Dal (United),40563,565,41128,25.78,216
3,4,Manoj Kumar Singh,Bahujan Samaj Party,3911,34,3945,2.47,216
4,5,Anil Kumar Singh,Janata Dal  (Secular),459,10,469,0.29,216
5,6,Amit Kumar,Pragatisheel Magahi Samaj,301,6,307,0.19,216
6,7,Kalam uddin,Rashtriya Jan Jan Party,691,15,706,0.44,216
7,8,Devendra Prasad,Apna Kisan Party,430,5,435,0.27,216
8,9,Mritunjay Kumar,Bhartiya Sablog Party,2858,45,2903,1.82,216
9,10,Raju Kumar,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),634,4,638,0.4,216
10,11,Sachida nand Sinha,Janta Raj Vikas Party,838,11,849,0.53,216
11,12,Satish Kumar,Republican Party of India (Athawale),911,6,917,0.57,216
12,13,Sultan Amhad,Jan Adhikar Party (Loktantrik),1795,14,1809,1.13,216
13,14,Sanjay Kumar,Independent,1817,5,1822,1.14,216
14,15,Sijantri Kumari,Independent,2013,13,2026,1.27,216
15,16,NOTA,None of the Above,2368,20,2388,1.5,216
0,1,RAKESH KUMAR SINGH,Lok Jan Shakti Party,4671,91,4762,3.13,217
1,2,RAHUL KUMAR,Janata Dal (United),55759,1620,57379,37.68,217
2,3,INDRAJEET KUMAR SUDHAKAR,Jai Maha Bharath Party,1002,17,1019,0.67,217
3,4,JAYANT KUMAR,Bhartiya Sablog Party,1290,43,1333,0.88,217
4,5,RAM BALI SINGH YADAV,Communist Party of India  (Marxist-Leninist)  (Liberation),73563,1149,74712,49.07,217
5,6,ARVIND KUMAR,Independent,1642,10,1652,1.08,217
6,7,JYOTI KUMARI,Independent,1062,29,1091,0.72,217
7,8,NITYANANDA,Independent,2309,19,2328,1.53,217
8,9,MANI BHUSHAN SHARMA,Independent,651,15,666,0.44,217
9,10,SANJIT KUMAR SINGH,Independent,796,7,803,0.53,217
10,11,SATYENDRA PRASAD YADAV,Independent,2705,24,2729,1.79,217
11,12,NOTA,None of the Above,3763,30,3793,2.49,217
0,1,Byas muni das,Bahujan Samaj Party,4939,86,5025,3.65,218
1,2,Satish Kumar,Rashtriya Janata Dal,69865,1706,71571,52.01,218
2,3,AVADH PASWAN,Nation First Democratic Party,1730,63,1793,1.3,218
3,4,DEVENDRA KUMAR,Hindustani Awam Morcha (Secular),48171,835,49006,35.62,218
4,5,FUL CHAND MANJHI,Sanyukt Kisan Vikas Party,1294,53,1347,0.98,218
5,6,SHRAVAN MANJHI,Jagrook Janta Party,690,51,741,0.54,218
6,7,Dharmendra Kumar,Independent,3106,94,3200,2.33,218
7,8,Mukesh Dayal,Independent,1115,25,1140,0.83,218
8,9,Ranjit Paswan,Independent,1551,29,1580,1.15,218
9,10,NOTA,None of the Above,2144,52,2196,1.6,218
0,1,BHIM KUMAR SINGH,Rashtriya Janata Dal,81005,405,81410,44.07,219
1,2,MANOJ KUMAR,Bharatiya Janata Party,45628,164,45792,24.79,219
2,3,DR. RANVIJAY KUMAR,Rashtriya Lok Samta Party,43892,158,44050,23.85,219
3,4,MD. EKLAKH,Peace Party,1191,2,1193,0.65,219
4,5,DHARMENDRA KUMAR,Rashtra Sewa Dal,367,0,367,0.2,219
5,6,RAJESH RANJAN,Jai Maha Bharath Party,194,0,194,0.11,219
6,7,SHYAM SUNDER,Jan Adhikar Party (Loktantrik),183,0,183,0.1,219
7,8,SLENDRA BIHARI,Shoshit Samaj Dal,258,0,258,0.14,219
8,9,ABHIRAM PRIYADARSHI,Independent,204,0,204,0.11,219
9,10,CHITRANJAN SHARMA,Independent,175,0,175,0.09,219
10,11,DINESH KUMAR SINGH,Independent,308,0,308,0.17,219
11,12,MANISH KUMAR,Independent,323,0,323,0.17,219
12,13,MANOJ SHARMA,Independent,576,1,577,0.31,219
13,14,YUDHISTHIR NONIA,Independent,1643,1,1644,0.89,219
14,15,"RAJESH KUMAR, SON OF NUNU SHARMA",Independent,1642,0,1642,0.89,219
15,16,"RAJESH KUMAR, SON OF MADAN SINGH",Independent,3067,0,3067,1.66,219
16,17,SREEKANT SHARMA,Independent,1678,0,1678,0.91,219
17,18,NOTA,None of the Above,1662,1,1663,0.9,219
0,1,AJAY KUMAR,Rashtriya Lok Samta Party,19809,70,19879,11.32,220
1,2,RISHI KUMAR,Rashtriya Janata Dal,63032,630,63662,36.24,220
2,3,PRAKASH CHANDRA,Lok Jan Shakti Party,40799,195,40994,23.34,220
3,4,SUNIL KUMAR,Janata Dal (United),25016,218,25234,14.36,220
4,5,RABINDRA NATH SHARMA,Vanchit Samaj Party,1084,5,1089,0.62,220
5,6,RANA PRATAP SINGH,Bhartiya Sablog Party,1110,4,1114,0.63,220
6,7,RAMRUP RAJVANSHI,Akhil Hind Forward Bloc (Krantikari),1062,1,1063,0.61,220
7,8,SUJEET KUMAR,Jan Adhikar Party (Loktantrik),4047,19,4066,2.31,220
8,9,SOM PRAKASH,Swaraj Party (Loktantrik),7016,19,7035,4,220
9,10,PRAMOD SINGH CHANDRAVANSHI,Independent,7712,24,7736,4.4,220
10,11,NOTA,None of the Above,3787,6,3793,2.16,220
0,1,GOPAL NISHAD,Nationalist Congress Party,1427,3,1430,0.9,221
1,2,DHARMENDRA KUMAR,Rashtriya Lok Samta Party,23466,24,23490,14.71,221
2,3,VIJAY KUMAR SINGH,Lok Jan Shakti Party,9119,21,9140,5.72,221
3,4,VIJAY KUMAR SINGH ALIAS DABLOO SINGH,Rashtriya Janata Dal,64586,357,64943,40.68,221
4,5,VIRENDRA KUMAR SINGH,Janata Dal (United),44660,162,44822,28.07,221
5,6,BABAN KUMAR,Jan Adhikar Party (Loktantrik),1973,4,1977,1.24,221
6,7,BHASHKAR KUMAR VERMA,Pragatisheel Magahi Samaj,672,1,673,0.42,221
7,8,MALTI DEVI,Swaraj Party (Loktantrik),554,2,556,0.35,221
8,9,RANJAN KUMAR TIWARI,Rashtriya Jan Jan Party,1253,1,1254,0.79,221
9,10,ANUJ KUMAR SINGH,Independent,1755,1,1756,1.1,221
10,11,DEVPUJAN PRASAD,Independent,2993,1,2994,1.88,221
11,12,RANJAN KUMAR,Independent,1664,1,1665,1.04,221
12,13,SANJU DEVI,Independent,1586,3,1589,1,221
13,14,NOTA,None of the Above,3364,4,3368,2.11,221
0,1,KRISHNA RAM,Bahujan Samaj Party,3986,11,3997,2.88,222
1,2,RAJESH KUMAR,Indian National Congress,50424,398,50822,36.61,222
2,3,SARUN PASWAN,Lok Jan Shakti Party,11763,37,11800,8.5,222
3,4,ANIL KUMAR,Jan Adhikar Party (Loktantrik),1674,8,1682,1.21,222
4,5,YUGESH RAM,Bharatiya Momin Front,1058,0,1058,0.76,222
5,6,VIKASH KUMAR PASWAN,Bhartiya Sarvodaya Party,1285,4,1289,0.93,222
6,7,SHAILESH RAHI,Akhil Hind Forward Bloc (Krantikari),1006,0,1006,0.72,222
7,8,SHARWAN BHUIYA,Hindustani Awam Morcha (Secular),34094,75,34169,24.61,222
8,9,HARIKRISHNA PASWAN,Bahujan Mukti Party,2294,10,2304,1.66,222
9,10,NAGENDRA PRASAD,Independent,886,0,886,0.64,222
10,11,RANJEET SAGAR,Independent,1795,1,1796,1.29,222
11,12,LALAN RAM,Independent,20366,67,20433,14.72,222
12,13,VIKESH PASWAN,Independent,2134,0,2134,1.54,222
13,14,SATEYENDRA RAM,Independent,2862,1,2863,2.06,222
14,15,NOTA,None of the Above,2583,3,2586,1.86,222
0,1,ANIL KUMAR,Bahujan Samaj Party,18335,109,18444,10.87,223
1,2,ANAND SHANKAR SINGH,Indian National Congress,69472,546,70018,41.27,223
2,3,RAMADHAR SINGH,Bharatiya Janata Party,67409,366,67775,39.95,223
3,4,ARCHANA DEVI,Pragatisheel Magahi Samaj,1611,3,1614,0.95,223
4,5,ASHISH KUMAR SONI,Rashtra Sewa Dal,857,0,857,0.51,223
5,6,CHANDESH PD GUPTA,Jan Adhikar Party (Loktantrik),2242,12,2254,1.33,223
6,7,MAHESHWAR PASWAN,Akhil Hind Forward Bloc (Krantikari),1230,2,1232,0.73,223
7,8,SURESH PRASAD,Bahujan Mukti Party,2358,8,2366,1.39,223
8,9,SANJIV KUMAR SINGH,Independent,2606,4,2610,1.54,223
9,10,NOTA,None of the Above,2479,5,2484,1.46,223
0,1,ASHOK KUMAR SINGH,Janata Dal (United),26606,227,26833,14.5,224
1,2,MANOJ KUMAR SINGH,Lok Jan Shakti Party,8459,32,8491,4.59,224
2,3,MOHAMMAD NEHALUDDIN,Rashtriya Janata Dal,62886,439,63325,34.22,224
3,4,RANJIT KUMAR,Bahujan Samaj Party,14558,39,14597,7.89,224
4,5,VISHAL KUMAR SINGH,Nationalist Congress Party,818,7,825,0.45,224
5,6,ARMAN KHAN,Bhartiya Sablog Party,690,1,691,0.37,224
6,7,RAVI SHANKAR KUMAR,Voters Party  International,1038,1,1039,0.56,224
7,8,RAJ KUMAR,Rashtra Sewa Dal,1172,0,1172,0.63,224
8,9,RAMJEE SINGH KANTA,Akhil Hind Forward Bloc (Krantikari),619,3,622,0.34,224
9,10,VIJAY KUMAR,Jai Maha Bharath Party,701,1,702,0.38,224
10,11,SANDEEP SINGH SAMDARSHI,Jan Adhikar Party (Loktantrik),1618,1,1619,0.87,224
11,12,ASHOK KUMAR SINGH,Independent,1010,4,1014,0.55,224
12,13,ARIF RAJA,Independent,4866,6,4872,2.63,224
13,14,PRAMOD KUMAR SINGH,Independent,53667,229,53896,29.12,224
14,15,SANTOSH KUMAR URF SANTOSH KUSHWAHA,Independent,2161,4,2165,1.17,224
15,16,NOTA,None of the Above,3189,1,3190,1.72,224
0,1,Raghvendra Narayan Yadav,Bahujan Samaj Party,15161,74,15235,8.52,225
1,2,Rajiv Nandan,Bharatiya Janata Party,63740,422,64162,35.86,225
2,3,Ramadhar Singh,Nationalist Congress Party,1433,5,1438,0.8,225
3,4,Vinay Kumar,Rashtriya Janata Dal,69892,869,70761,39.55,225
4,5,Ajay Kumar,Pragatisheel Magahi Samaj,1098,3,1101,0.62,225
5,6,Arvind Kumar,Peoples Party of India (Democratic),489,3,492,0.27,225
6,7,Ashok Kumar Singh,Bhartiya Lok Chetna Party,332,1,333,0.19,225
7,8,Md. Azaj,Bahujan Lok Dal,1296,10,1306,0.73,225
8,9,Dinanath Prasad,Aam Janta Party Rashtriya,612,2,614,0.34,225
9,10,Brajesh Pandey,Rashtra Sewa Dal,398,3,401,0.22,225
10,11,Bhim Prasad,Rashtrawadi Janlok Party (Satya),616,12,628,0.35,225
11,12,Mithilesh Kumar Sharma,All India Forward Bloc,866,7,873,0.49,225
12,13,Yugesh Paswan,Rashtriya Samaj Paksha,2330,6,2336,1.31,225
13,14,Raja Ram Azad,Bhartiya Lok Nayak Party,987,4,991,0.55,225
14,15,Ramashray Ravidas,Akhil Hind Forward Bloc (Krantikari),1794,1,1795,1,225
15,16,Sudhir Kumar Verma,Jan Adhikar Party (Loktantrik),7373,71,7444,4.16,225
16,17,Arvind Kumar Srivastwa,Independent,1890,15,1905,1.06,225
17,18,Uday Kumar Verma,Independent,1055,2,1057,0.59,225
18,19,Krishan Deo Singh,Independent,682,3,685,0.38,225
19,20,Dilip Kumar Singh,Independent,1535,1,1536,0.86,225
20,21,Ranjan Kumar Barnwal,Independent,801,1,802,0.45,225
21,22,Binay Kumar,Independent,1650,16,1666,0.93,225
22,23,Vinod Paswan,Independent,397,2,399,0.22,225
23,24,NOTA,None of the Above,949,9,958,0.54,225
0,1,Manju Agrawal,Rashtriya Janata Dal,61419,385,61804,35.74,226
1,2,Mukesh Kumar Yadav,Lok Jan Shakti Party,24037,70,24107,13.94,226
2,3,Vinod Prasad Yadav,Janata Dal (United),44970,144,45114,26.09,226
3,4,Omair Khan,Jan Adhikar Party (Loktantrik),11779,26,11805,6.83,226
4,5,Karan Raj,Ambedkarite Party of India,1054,4,1058,0.61,226
5,6,Masaroor Alam,All India Majlis-E-Ittehadul Muslimeen,14951,36,14987,8.67,226
6,7,Vinod Kumar Singh,Peoples Party of India (Democratic),975,6,981,0.57,226
7,8,Chandradev Kumar Yadav,Independent,738,1,739,0.43,226
8,9,Manju Devi,Independent,1174,0,1174,0.68,226
9,10,Mukesh Prasad,Independent,3330,1,3331,1.93,226
10,11,Ramchandra Prasad Yadav,Independent,2651,1,2652,1.53,226
11,12,NOTA,None of the Above,5192,2,5194,3,226
0,1,Uday Narain Choudhary,Rashtriya Janata Dal,62332,396,62728,36.12,227
1,2,Kumari Shobha Sinha,Lok Jan Shakti Party,14150,47,14197,8.18,227
2,3,Jitendra Kumar Paswan,Rashtriya Lok Samta Party,2330,7,2337,1.35,227
3,4,Jitan Ram Manjhi,Hindustani Awam Morcha (Secular),78509,253,78762,45.36,227
4,5,Fakirchand Das,Jan Adhikar Party (Loktantrik),3781,16,3797,2.19,227
5,6,Banarsi Das,Peoples Party of India (Democratic),955,7,962,0.55,227
6,7,Lalan Kumar,Ambedkarite Party of India,1202,4,1206,0.69,227
7,8,Jitendra Chaudhari,Jagrook Janta Party,2032,1,2033,1.17,227
8,9,Deepak Ram,Independent,1337,2,1339,0.77,227
9,10,Bijendra Paswan,Independent,1577,2,1579,0.91,227
10,11,NOTA,None of the Above,4699,6,4705,2.71,227
0,1,RITA DEVI,Bahujan Samaj Party,9679,42,9721,5.26,228
1,2,RENUKA DEVI,Lok Jan Shakti Party,11144,100,11244,6.08,228
2,3,SAMATA DEVI,Rashtriya Janata Dal,65512,661,66173,35.79,228
3,4,JYOTI DEVI,Hindustani Awam Morcha (Secular),72249,242,72491,39.21,228
4,5,PARMESHWAR PASWAN,Bahujan Mukti Party,1873,20,1893,1.02,228
5,6,PRASHURAM MANJHI,Apna Kisan Party,1654,5,1659,0.9,228
6,7,BAL KUNWAR MANJHI,Jan Adhikar Party (Loktantrik),3116,11,3127,1.69,228
7,8,RAM BHAJAN MANAV,Shoshit Samaj Dal,1416,11,1427,0.77,228
8,9,REKHA DEVI,Jai Maha Bharath Party,1020,2,1022,0.55,228
9,10,SHIV SHANKAR KUMAR,Peoples Party of India (Democratic),1791,11,1802,0.97,228
10,11,ARJUN BHUIYAN,Independent,3816,20,3836,2.07,228
11,12,PUNIYA DEVI,Independent,3774,4,3778,2.04,228
12,13,SHIVCHARAN MANJHI,Independent,2956,6,2962,1.6,228
13,14,NOTA,None of the Above,3759,8,3767,2.04,228
0,1,AJAY PASWAN,Rashtriya Lok Samta Party,9276,35,9311,4.81,229
1,2,KUMAR SARVJEET,Rashtriya Janata Dal,80196,730,80926,41.84,229
2,3,SURESH PASWAN,Nationalist Congress Party,2109,6,2115,1.09,229
3,4,HARI MANJHI,Bharatiya Janata Party,75921,297,76218,39.4,229
4,5,KAILASH BHUIYAN,Apna Kisan Party,2062,0,2062,1.07,229
5,6,DILIP KUMAR CHOUDHARY,Rashtriya Jan Jan Party,1905,14,1919,0.99,229
6,7,BINDU VIKASH ATAL,Jagrook Janta Party,428,1,429,0.22,229
7,8,BED PRAKASH,Peoples Party of India (Democratic),779,12,791,0.41,229
8,9,MAHAVEER MANJHI,Bhartiya Insan Party,549,2,551,0.28,229
9,10,VIJAY KUMAR CHOUDHARY,Janta Dal Rashtravadi,1041,3,1044,0.54,229
10,11,VIJAY PASWAN,Sankhyanupati Bhagidari Party,1208,2,1210,0.63,229
11,12,SANJAY KUMAR CHOUDHARY,Bahujan Lok Dal,1996,2,1998,1.03,229
12,13,SATYENDRA KUMAR,Moolniwasi Samaj Party,3436,2,3438,1.78,229
13,14,OM PRAKASH PASWAN,Independent,1483,0,1483,0.77,229
14,15,PRAMILA KUMARI,Independent,3589,4,3593,1.86,229
15,16,RAVINDRA RAJWANSHI,Independent,2546,0,2546,1.32,229
16,17,SIMA KUMARI,Independent,1295,5,1300,0.67,229
17,18,NOTA,None of the Above,2495,5,2500,1.29,229
0,1,AKHAURI ONKAR NATH,Indian National Congress,54239,795,55034,41.02,230
1,2,PREM KUMAR,Bharatiya Janata Party,66362,570,66932,49.89,230
2,3,RANDHIR KUMAR KESHRI,Rashtriya Lok Samta Party,1044,10,1054,0.79,230
3,4,ANJANI KUMAR VAIDYASEN,Bhartiya Lok Chetna Party,185,3,188,0.14,230
4,5,ABUL FARAHA @ MD. ABUL FARAH,Bahujan Lok Dal,294,6,300,0.22,230
5,6,ADITYA PRADHAN,Peoples Party of India (Democratic),165,2,167,0.12,230
6,7,INDRA KUMAR,Hindu Samaj Party,190,1,191,0.14,230
7,8,GAUTAM KUMAR BABALU,Moolniwasi Samaj Party,244,3,247,0.18,230
8,9,DEEPAK ANAND,Rashtrawadi Janlok Party (Satya),221,1,222,0.17,230
9,10,DEEPAK KUMAR,Rashtriya Samaj Paksha,157,2,159,0.12,230
10,11,NIKIL KUMAR,Jan Adhikar Party (Loktantrik),300,3,303,0.23,230
11,12,PRAMENDRA KUMAR,Bhartiya Sablog Party,316,1,317,0.24,230
12,13,MD. PERWEZ MANSURI,Rashtriya Ulama Council,668,9,677,0.5,230
13,14,BEAUTY SINHA,Shiv Sena,377,4,381,0.28,230
14,15,MANOJ KUMAR TRIPATHI,Rashtriya Jan Jan Party,851,4,855,0.64,230
15,16,RINKU KUMAR,"Log Jan Party - Secular,",1098,1,1099,0.82,230
16,17,SHYAMLESH NARAYAN,Loktantrik Janshakti Party,866,2,868,0.65,230
17,18,SANJIT KUMAR,Bhartiya Lokmat Rashtrwadi Party,441,0,441,0.33,230
18,19,SUNIL KUMAR,Mazdoor Ekta Party,218,3,221,0.16,230
19,20,ANUJ KUMAR SINHA,Independent,117,2,119,0.09,230
20,21,AMIT KUMAR,Independent,102,2,104,0.08,230
21,22,ALKA SINGH,Independent,1135,18,1153,0.86,230
22,23,CHAITANYA PALIT,Independent,668,9,677,0.5,230
23,24,NARESH PRASAD,Independent,137,0,137,0.1,230
24,25,MUKESH KUMAR SINHA,Independent,126,1,127,0.09,230
25,26,RAJ KISHOR SINGH,Independent,175,1,176,0.13,230
26,27,RAMKUMAR YADAV,Independent,528,1,529,0.39,230
27,28,NOTA,None of the Above,1451,25,1476,1.1,230
0,1,Kamlesh Sharma,Lok Jan Shakti Party,16271,114,16385,8.78,231
1,2,Sheo Bachan Yadav,Bahujan Samaj Party,7276,20,7296,3.91,231
2,3,Sumant Kumar,Indian National Congress,67005,724,67729,36.28,231
3,4,Ajay Yadav,Jan Adhikar Party (Loktantrik),2381,16,2397,1.28,231
4,5,Anil Kumar,Hindustani Awam Morcha (Secular),69750,609,70359,37.69,231
5,6,Abita Devi,Rashtrawadi Janlok Party (Satya),1096,16,1112,0.6,231
6,7,Abhishek Singh,Sapaks Party,667,4,671,0.36,231
7,8,Kundan Kumar,Peoples Party of India (Democratic),509,6,515,0.28,231
8,9,Gopal Kumar,Bhartiya Lok Nayak Party,453,2,455,0.24,231
9,10,Chandan Kumar,Bharat Bhrashtachar Mitao Party,378,2,380,0.2,231
10,11,Janardan Sharma,Public Mission Party,607,0,607,0.33,231
11,12,Jitendra Mishra,Prabal Bharat Party,1313,5,1318,0.71,231
12,13,Dilip Kumar,Rashtriya Samaj Paksha,935,1,936,0.5,231
13,14,Punam Kumari,Shoshit Samaj Dal,2362,8,2370,1.27,231
14,15,Prasun Kumar,Bhartiya Lok Chetna Party,664,5,669,0.36,231
15,16,Ravish Kumar Raj,Bharatiya Jan Kranti Dal (Democratic),2871,1,2872,1.54,231
16,17,Ram Chandra Ajad,Akhil Hind Forward Bloc (Krantikari),1643,8,1651,0.88,231
17,18,Shivnarayan Mishra,Republican Party of India (Athawale),728,3,731,0.39,231
18,19,Santosh Kumar,Aam Janta Party Rashtriya,2068,7,2075,1.11,231
19,20,Har Deo Yadav,Loktantrik Samajwadi Party,472,1,473,0.25,231
20,21,Ashok Kumar,Independent,1144,2,1146,0.61,231
21,22,Kishor Kumar,Independent,448,0,448,0.24,231
22,23,Ranjan Radharj,Independent,1354,6,1360,0.73,231
23,24,Raushan Kumar Singh,Independent,1146,5,1151,0.62,231
24,25,Lalti Devi,Independent,386,4,390,0.21,231
25,26,NOTA,None of the Above,1151,20,1171,0.63,231
0,1,ABHAY KUMAR,Nationalist Congress Party,1294,16,1310,0.77,232
1,2,ABHAY KUMAR SINHA,Janata Dal (United),55340,405,55745,32.81,232
2,3,RAMASHRAY SHARMA,Lok Jan Shakti Party,11928,77,12005,7.07,232
3,4,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,78856,852,79708,46.91,232
4,5,KUSUM KUMARI,Peoples Party of India (Democratic),1428,12,1440,0.85,232
5,6,GUPTESHWAR KUMAR BHARTI,Swabhiman Party,604,1,605,0.36,232
6,7,MOHAMMED EKRAM,Samajwadi Janata Dal Democratic,3773,30,3803,2.24,232
7,8,SHAHADAT HUSSAIN,Bharat Bhrashtachar Mitao Party,692,0,692,0.41,232
8,9,SOHARAI PASWAN,Public Mission Party,881,2,883,0.52,232
9,10,ARUN KUMAR,Independent,1795,8,1803,1.06,232
10,11,GEETA DEVI,Independent,2628,7,2635,1.55,232
11,12,MOHAMMED IQBAL,Independent,1796,0,1796,1.06,232
12,13,SYED SHARIM ALI,Independent,4398,13,4411,2.6,232
13,14,NOTA,None of the Above,3068,3,3071,1.81,232
0,1,AJAY KUMAR SINHA,Rashtriya Lok Samta Party,9384,58,9442,5.51,233
1,2,AJAY YADAV,Rashtriya Janata Dal,61682,976,62658,36.55,233
2,3,ARVIND KUMAR SINGH,Lok Jan Shakti Party,25537,336,25873,15.09,233
3,4,MANORMA DEVI,Janata Dal (United),54104,623,54727,31.93,233
4,5,SHASHI KUMAR,Pragatisheel Magahi Samaj,1813,15,1828,1.07,233
5,6,KUMARI VEENA,Independent,1204,16,1220,0.71,233
6,7,GAURAV KUMAR SINHA,Independent,1215,7,1222,0.71,233
7,8,CHANDRIKA PRASAD,Independent,1880,13,1893,1.1,233
8,9,MANOJ YADAV,Independent,2649,2,2651,1.55,233
9,10,RAM LAKHAN YADAV,Independent,2304,3,2307,1.35,233
10,11,SUBHAS CHANDRA BOSE,Independent,3020,16,3036,1.77,233
11,12,NOTA,None of the Above,4543,18,4561,2.66,233
0,1,Birendra Singh,Bharatiya Janata Party,70325,388,70713,40.23,234
1,2,SHASHI SHEKHAR Singh,Indian National Congress,47903,380,48283,27.47,234
2,3,Shreedhar Prasad,Rashtriya Lok Samta Party,7347,43,7390,4.2,234
3,4,INDRAN PASWAN,Peoples Party of India (Democratic),774,4,778,0.44,234
4,5,CHITRANJAN KUMAR,Bhartiya Sablog Party,11127,35,11162,6.35,234
5,6,JWALA MEHTA,Bahujan Lok Dal,753,0,753,0.43,234
6,7,Dipak Kumar,Bhartiya Rashtriya Dal,496,2,498,0.28,234
7,8,MRITYUNJAY Kumar Singh,Shiv Sena,634,1,635,0.36,234
8,9,Rajiv Kumar,Jan Adhikar Party (Loktantrik),3715,7,3722,2.12,234
9,10,Raju Saw,Sankhyanupati Bhagidari Party,1043,1,1044,0.59,234
10,11,Ram Prasad Manjhi,Jagrook Janta Party,665,0,665,0.38,234
11,12,Sanjay Prasad,Bharat Bhrashtachar Mitao Party,985,0,985,0.56,234
12,13,Suman Saurav,Prabal Bharat Party,677,0,677,0.39,234
13,14,BINOD DAS,Independent,864,2,866,0.49,234
14,15,Ranjay Kumar Singh,Independent,1974,0,1974,1.12,234
15,16,Rajendra Kumar Verma,Independent,3170,0,3170,1.8,234
16,17,Ram bilash Prasad,Independent,2427,1,2428,1.38,234
17,18,Ram Vijay Paswan,Independent,961,1,962,0.55,234
18,19,RITA DEVI,Independent,577,5,582,0.33,234
19,20,Vandana Singh,Independent,2121,2,2123,1.21,234
20,21,Shital Prasad Yadav,Independent,14088,85,14173,8.06,234
21,22,SURAJ KUMAR,Independent,658,0,658,0.37,234
22,23,NOTA,None of the Above,1540,8,1548,0.88,234
0,1,KANHAIYA KUMAR,Bharatiya Janata Party,57121,270,57391,34.22,235
1,2,PRAKASH VEER,Rashtriya Janata Dal,69287,697,69984,41.72,235
2,3,MITHILESH RAJVANSHI,Rashtriya Lok Samta Party,1523,6,1529,0.91,235
3,4,DILIP PASWAN,Rashtriya Samaj Paksha,567,3,570,0.34,235
4,5,DEEPAK KUMAR,Jan Adhikar Party (Loktantrik),909,8,917,0.55,235
5,6,DURGA RAJBANSHI,Peoples Party of India (Democratic),280,0,280,0.17,235
6,7,DUSHYANT PASWAN,Jai Maha Bharath Party,291,0,291,0.17,235
7,8,NARESH RAM,Shoshit Samaj Dal,363,2,365,0.22,235
8,9,PRIYANKA DEVI,Moolniwasi Samaj Party,333,1,334,0.2,235
9,10,MOHAN CHAUDHARY,Prabal Bharat Party,499,1,500,0.3,235
10,11,VISHWANATH TANTI,Loktantrik Janshakti Party,540,2,542,0.32,235
11,12,SHYAM SUNDAR KUMAR RAVI,Bhartiya Sablog Party,687,1,688,0.41,235
12,13,ARJUN RAM,Independent,14290,104,14394,8.58,235
13,14,CHANDAN KUMAR CHAUDHARY,Independent,1071,1,1072,0.64,235
14,15,PRITHAVIRAJ BASANT,Independent,2294,2,2296,1.37,235
15,16,PREMA CHAUDHARY,Independent,5289,20,5309,3.17,235
16,17,BANWARI RAM,Independent,3476,30,3506,2.09,235
17,18,BALMIKI RAM,Independent,1955,1,1956,1.17,235
18,19,RANJIT KUMAR,Independent,2206,13,2219,1.32,235
19,20,RABINDRA RAJBANSHI,Independent,816,0,816,0.49,235
20,21,RAKESH KUMAR,Independent,919,7,926,0.55,235
21,22,SHRAVAN KUMAR,Independent,657,5,662,0.39,235
22,23,NOTA,None of the Above,1176,12,1188,0.71,235
0,1,Anil Singh,Bharatiya Janata Party,77252,587,77839,40.84,236
1,2,Uttam Kumar Chaudhary,Bahujan Samaj Party,3683,13,3696,1.94,236
2,3,NITU KUMARI,Indian National Congress,94027,903,94930,49.81,236
3,4,ANIL KUMAR SHARMA,Rashtriya Jan Jan Party,2879,11,2890,1.52,236
4,5,SUDHIR KUMAR,Shoshit Samaj Dal,1148,9,1157,0.61,236
5,6,SURESH PASWAN,Peoples Party of India (Democratic),1287,8,1295,0.68,236
6,7,Azad Geeta Prasad Sharma,Independent,3275,6,3281,1.72,236
7,8,GANESH RAJVANSHI,Independent,1186,4,1190,0.62,236
8,9,NOTA,None of the Above,4306,16,4322,2.27,236
0,1,Kaushal Yadav,Janata Dal (United),34194,373,34567,19.12,237
1,2,Dhirendra Kumar,Rashtriya Lok Samta Party,2199,13,2212,1.22,237
2,3,Vibha Devi,Rashtriya Janata Dal,71618,817,72435,40.06,237
3,4,Shashi Bhushan Kumar,Lok Jan Shakti Party,3026,64,3090,1.71,237
4,5,Rajesh Kumar Nirala,"Hindustani Awam Manch (United),",466,4,470,0.26,237
5,6,Satish Kumar,Peoples Party of India (Democratic),324,3,327,0.18,237
6,7,Dinesh Prasad,Independent,581,2,583,0.32,237
7,8,Dhirendra Kumar Sinha Munna,Independent,9601,83,9684,5.36,237
8,9,Naresh Ravidas,Independent,525,3,528,0.29,237
9,10,Bablu Kumar,Independent,531,9,540,0.3,237
10,11,Bawan Yadav,Independent,505,0,505,0.28,237
11,12,Rajendra Prasad Sahu,Independent,3940,92,4032,2.23,237
12,13,Vineshwar Yadav,Independent,1606,0,1606,0.89,237
13,14,Sharwan Kumar S/o-Deva Mahto,Independent,45783,342,46125,25.51,237
14,15,Shravan Kumar S/o-Maholal Sao,Independent,1193,4,1197,0.66,237
15,16,NOTA,None of the Above,2913,17,2930,1.62,237
